Log started Tue May  2 11:10:56 2017
Octane Render for Houdini by Juanjo Gonzalez. Build 3.06.0.4 (Build date: Mar 31 2017 10:58:21)
Octane API: 3.06 TEST 4
HDK API: 16.0.557
Houdini host version: 16.0.557
System: GenuineIntel unknown, 4014 Mhz., 8 cores
OS: Windows 8 64-bit

INFOR: [license] -----------  Authenticate Octane license
INFOR: [license] -----------  Octane Licenses are ready
INFOR: [system] ------------  Setting the GPUs device state and priority
INFOR: [core] --------------  ROP node render, time 5.40
INFOR: [loader] ------------    Houdini camera path: /obj/cam1
INFOR: [core] --------------  Render layers disabled
INFOR: [loader] ------------    Houdini camera path: /obj/cam1
INFOR: [loader] ------------  Loading scene
INFOR: [loader] ------------  Found a OBJ node: /obj/octane_tree1
INFOR: [loader] ------------    Render SOP for this node: /obj/octane_tree1/filecache1, name filecache1
INFOR: [materials] ---------        Building the materials list
INFOR: [materials] ---------        Found 3 materials
ERROR: [materials] ---------        Material SHOP node "" not found
INFOR: [loader] ------------    Transformation matrix for MB step 0
INFOR: [loader] ------------    Transformation matrix for MB step 1
INFOR: [loader] ------------  Found a OBJ node: /obj/cam1
INFOR: [loader] ------------  Found a OBJ node: /obj/dof_null_cam1
INFOR: [loader] ------------    This object has been filtered as not valid
INFOR: [loader] ------------  Found a OBJ node: /obj/cam2
INFOR: [loader] ------------  Found a OBJ node: /obj/dof_null_cam2
INFOR: [loader] ------------    This object has been filtered as not valid
INFOR: [loader] ------------  Found a OBJ node: /obj/octane_tree2
INFOR: [loader] ------------    Render SOP for this node: /obj/octane_tree2/filecache1, name filecache1
INFOR: [materials] ---------        Building the materials list
INFOR: [materials] ---------        Found 3 materials
ERROR: [materials] ---------        Material SHOP node "" not found
INFOR: [loader] ------------    Transformation matrix for MB step 0
INFOR: [loader] ------------    Transformation matrix for MB step 1
INFOR: [loader] ------------  Found a OBJ node: /obj/grass_meshes/grass_mesh_1
INFOR: [loader] ------------    Render SOP for this node: /obj/grass_meshes/grass_mesh_1/file1, name file1
INFOR: [materials] ---------        Building the materials list
INFOR: [materials] ---------        Found 2 materials
INFOR: [loader] ------------    Transformation matrix for MB step 0
INFOR: [loader] ------------    Transformation matrix for MB step 1
INFOR: [loader] ------------  Found a OBJ node: /obj/grass_meshes/grass_mesh_2
INFOR: [loader] ------------    Render SOP for this node: /obj/grass_meshes/grass_mesh_2/file1, name file1
